Epoch,train_loss_tcga_classical_Q0_20250930_160554,val_loss_tcga_classical_Q0_20250930_160554,train_loss_tcga_classical_Q0_20250930_160851,val_loss_tcga_classical_Q0_20250930_160851,train_loss_tcga_classical_Q0_20250930_161005,val_loss_tcga_classical_Q0_20250930_161005,train_loss_tcga_quantum_Q1_20250930_161005,val_loss_tcga_quantum_Q1_20250930_161005,train_loss_tcga_quantum_Q2_20250930_161005,val_loss_tcga_quantum_Q2_20250930_161005,train_loss_tcga_quantum_Q3_20250930_161005,val_loss_tcga_quantum_Q3_20250930_161005,train_loss_tcga_quantum_Q4_20250930_161005,val_loss_tcga_quantum_Q4_20250930_161005,train_loss_tcga_quantum_Q5_20250930_161005,val_loss_tcga_quantum_Q5_20250930_161005,train_loss_tcga_classical_Q0_20250930_164818,val_loss_tcga_classical_Q0_20250930_164818,train_loss_tcga_quantum_Q1_20250930_164818,val_loss_tcga_quantum_Q1_20250930_164818,train_loss_tcga_quantum_Q2_20250930_164818,val_loss_tcga_quantum_Q2_20250930_164818,train_loss_tcga_quantum_Q3_20250930_164818,val_loss_tcga_quantum_Q3_20250930_164818,train_loss_tcga_quantum_Q4_20250930_164818,val_loss_tcga_quantum_Q4_20250930_164818,train_loss_tcga_quantum_Q5_20250930_164818,val_loss_tcga_quantum_Q5_20250930_164818
0,3.169401435291066,2.927864789962769,3.1472450564889347,2.882161855697632,3.227686503354241,2.9485050439834595,3.41808978249045,3.317975640296936,3.5188449831569897,3.4235843420028687,3.401926026624792,3.300214409828186,3.395823029910817,3.2936712503433228,3.406684034010943,3.2898043394088745,3.2195346355438232,2.9561145305633545,3.4394532512216007,3.3343886137008667,3.415559123544132,3.313034176826477,3.415665949092192,3.3215044736862183,3.440631768282722,3.328525424003601,3.464953296324786,3.368257522583008
1,2.8169847516452564,2.7360159158706665,2.784284731921028,2.671635746955872,2.833330505034503,2.753087043762207,3.2781976110794964,3.23835289478302,3.3765052486868465,3.341470003128052,3.2380607829374424,3.2045825719833374,3.2394828936632942,3.2024654150009155,3.24512194184696,3.2000890970230103,2.848488653407377,2.744536638259888,3.275559004615335,3.236217141151428,3.2682855549980614,3.229635000228882,3.2655471212723675,3.241188168525696,3.287397398668177,3.2443273067474365,3.320450754726634,3.2858718633651733
2,2.6436304204604206,2.580470085144043,2.606134204303517,2.52114200592041,2.65841007232666,2.593849897384644,3.2091758671928856,3.1804035902023315,3.3050604147069595,3.280178427696228,3.158137728186215,3.1364086866378784,3.167002088883344,3.140956163406372,3.1696189571829403,3.1358327865600586,2.671623636694516,2.59263288974762,3.189916302176083,3.1581027507781982,3.198901232551126,3.1715108156204224,3.197825473897597,3.1864309310913086,3.2164432020748364,3.185913324356079,3.2514032195596134,3.2255338430404663
3,2.4974038039936737,2.443368911743164,2.461532312280992,2.384321928024292,2.508005226359648,2.4556504487991333,3.152749538421631,3.1283477544784546,3.246784168131211,3.2279924154281616,3.0955331185284782,3.077833890914917,3.1120612621307373,3.090727686882019,3.112183739157284,3.082503914833069,2.5254799478194294,2.4538036584854126,3.118253132876228,3.0881459712982178,3.145563840866089,3.1226848363876343,3.1454860462861904,3.1404796838760376,3.161834885092343,3.1348477602005005,3.196604644550997,3.174977660179138
4,2.3624596034779266,2.3109201192855835,2.3276152470532585,2.253087401390076,2.3701982778661392,2.324947237968445,3.10021832410027,3.077955365180969,3.195067700217752,3.178649425506592,3.039509689106661,3.024477005004883,3.063918211880852,3.044785499572754,3.060924403807696,3.033586978912353,2.3872580107520607,2.323078751564026,3.051057955797981,3.02063536643982,3.0969802772297577,3.076098918914795,3.0997604061575497,3.097625732421875,3.112398989060346,3.088708519935608,3.1473696792826935,3.1281089782714844
5,2.231285712298225,2.1849292516708374,2.1995639240040497,2.129493236541748,2.2391104417688705,2.1990612745285034,3.0484360947328457,3.0282050371170044,3.144565175561344,3.130710482597351,2.986714306999655,2.9737967252731323,3.019613083671121,3.00125539302826,3.0132724537568936,2.9874075651168823,2.257231824538287,2.1987446546554565,2.9837527134839226,2.954455137252808,3.0503807769102207,3.029624342918396,3.054867786519668,3.056076169013977,3.0675504628349755,3.046170234680176,3.1020211331984577,3.083400249481201
6,2.1070138145895565,2.0669957399368286,2.077958015834584,2.011821448802948,2.115113244337194,2.082569003105164,2.998581297257368,2.979532480239868,3.095282484503353,3.082953929901123,2.9352629745707794,2.9223145246505737,2.9772940944222843,2.959474921226501,2.9683478159063004,2.943396210670471,2.133564093533684,2.0822036266326904,2.9202454651103302,2.8924425840377808,3.0039988545810474,2.984046220779419,3.0119197789360497,3.0142900943756104,3.025266170501709,3.006775379180908,3.058946216807646,3.0419143438339233
7,1.9910231337827795,1.9570488333702087,1.96331799030304,1.899888515472412,1.996783011099872,1.9683279991149905,2.949476129868452,2.9323915243148804,3.045621801825131,3.0348109006881714,2.8844919625450585,2.8716354370117188,2.935779403237736,2.919604539871216,2.9240897403043857,2.899435043334961,2.0160352061776554,1.9688867330551147,2.858014148824356,2.8314192295074463,2.958457526038675,2.9392718076705933,2.969646776423734,2.974033832550049,2.9855802059173584,2.969838500022888,3.0188724153182087,3.0028706789016724
8,1.8804903170641727,1.8500162959098816,1.8549042729770435,1.7971741557121277,1.8842507390414969,1.8625090718269348,2.898912275538725,2.883773922920227,2.996713778551887,2.9873180389404297,2.8337901059319,2.820991516113281,2.896837318644804,2.881371140480041,2.880435410667868,2.856786608695984,1.9040038725909063,1.8640421032905576,2.7973487236920525,2.773097395896912,2.912733624963199,2.894268274307251,2.929001976461972,2.935466408729553,2.948473467546351,2.9333568811416626,2.979936543632956,2.9665300846099854
9,1.776749751147102,1.7534947395324707,1.7546671839321362,1.6994268298149109,1.7794138613869162,1.762664020061493,2.8488433220807243,2.8339236974716187,2.948090286815868,2.93865430355072,2.7814866935505584,2.7694613933563232,2.8584063754362217,2.8447580337524414,2.838552853640388,2.816285729408264,1.799623082665836,1.7656818628311155,2.740051984786988,2.7158039808273315,2.8677384292378143,2.850493550300598,2.8895492553710938,2.898300647735596,2.911663392010857,2.8986332416534424,2.943974214441636,2.9311052560806274
10,1.6792903928195728,1.660803139209747,1.658330517656663,1.6131612062454224,1.6802408695220947,1.6712369918823242,2.798125898136812,2.784705758094788,2.897415175157435,2.889840245246887,2.730339961893418,2.718046903610229,2.8218895828022674,2.8090760707855225,2.798206329345703,2.7776646614074707,1.702077122295604,1.6746861338615415,2.6811546157388126,2.6586647033691406,2.822994765113382,2.8067939281463623,2.8513917081496296,2.862736701965332,2.8761666101567886,2.864535450935364,2.908249392228968,2.896214723587036
11,1.590040038613712,1.5764254331588743,1.5711889056598438,1.5274468064308169,1.5906452221028946,1.5849257707595823,2.747948239831364,2.735590934753418,2.847544894498937,2.839925527572632,2.6779495267307056,2.666973829269409,2.7867741725024056,2.774914503097534,2.7597754702848545,2.741418719291687,1.6115056907429417,1.5915997624397278,2.625088060603422,2.6051220893859863,2.7790143349591423,2.762624144554138,2.814492674434886,2.829708933830261,2.8423263325410733,2.8318679332733154,2.8730108036714443,2.8617106676101685
